iter	Passed	Remaining
0	140	139926
1	142	71238
2	145	48441
3	148	36962
4	151	30104
5	154	25517
6	156	22231
7	159	19797
8	162	17934
9	165	16403
10	169	15213
11	172	14168
12	174	13270
13	177	12519
14	180	11870
15	183	11277
16	185	10751
17	188	10292
18	192	9920
19	194	9552
20	198	9251
21	201	8941
22	203	8656
23	207	8424
24	210	8197
25	213	7987
26	216	7791
27	218	7597
28	221	7426
29	224	7273
30	227	7121
31	230	6978
32	233	6850
33	236	6720
34	239	6603
35	242	6486
36	244	6375
37	247	6269
38	250	6168
39	253	6087
40	256	5998
41	259	5912
42	261	5830
43	264	5751
44	267	5684
45	270	5615
46	273	5545
47	276	5476
48	278	5412
49	281	5350
50	285	5313
51	288	5256
52	291	5201
53	293	5145
54	296	5092
55	299	5050
56	302	5005
57	305	4959
58	308	4916
59	310	4871
60	313	4827
61	317	4800
62	320	4759
63	322	4720
64	325	4682
65	328	4646
66	331	4611
67	333	4577
68	336	4542
69	339	4509
70	342	4480
71	345	4449
72	348	4428
73	351	4396
74	354	4368
75	357	4341
76	359	4313
77	363	4299
78	366	4273
79	369	4246
80	372	4221
81	374	4195
82	377	4172
83	381	4159
84	384	4140
85	387	4123
86	390	4103
87	394	4092
88	398	4074
89	401	4064
90	405	4048
91	408	4028
92	412	4023
93	415	4007
94	418	3991
95	421	3972
96	425	3956
97	428	3942
98	431	3925
99	434	3909
100	437	3892
101	440	3881
102	444	3874
103	448	3862
104	451	3850
105	454	3834
106	459	3834
107	462	3821
108	466	3809
109	469	3794
110	472	3786
111	476	3776
112	479	3764
113	482	3750
114	485	3735
115	489	3731
116	492	3718
117	495	3704
118	498	3691
119	501	3678
120	505	3675
121	508	3662
122	512	3651
123	515	3638
124	517	3623
125	521	3616
126	524	3604
127	527	3590
128	529	3576
129	532	3562
130	535	3551
131	538	3538
132	541	3527
133	544	3518
134	547	3508
135	550	3497
136	553	3486
137	556	3473
138	558	3461
139	561	3451
140	564	3440
141	568	3433
142	571	3422
143	574	3412
144	576	3402
145	579	3391
146	583	3383
147	585	3372
148	588	3361
149	591	3351
150	594	3341
151	597	3336
152	601	3328
153	604	3318
154	607	3311
155	610	3302
156	613	3294
157	616	3286
158	620	3280
159	623	3273
160	626	3265
161	631	3266
162	634	3260
163	639	3258
164	642	3251
165	646	3250
166	650	3244
167	653	3235
168	656	3227
169	659	3220
170	664	3222
171	667	3215
172	671	3208
173	674	3200
174	678	3198
175	681	3189
176	684	3181
177	687	3173
178	690	3165
179	695	3169
180	699	3164
181	702	3159
182	706	3154
183	710	3149
184	713	3143
185	716	3137
186	720	3132
187	725	3132
188	728	3126
189	732	3122
190	735	3115
191	739	3111
192	742	3104
193	745	3096
194	748	3089
195	751	3082
196	754	3076
197	758	3070
198	760	3063
199	764	3057
200	767	3049
201	770	3044
202	773	3037
203	776	3030
204	780	3025
205	783	3018
206	786	3012
207	789	3005
208	792	2999
209	796	2995
210	799	2988
211	803	2985
212	806	2980
213	809	2975
214	813	2969
215	816	2963
216	820	2959
217	823	2953
218	827	2949
219	830	2943
220	833	2936
221	836	2930
222	839	2923
223	842	2917
224	845	2911
225	849	2907
226	852	2902
227	855	2897
228	859	2892
229	862	2887
230	867	2886
231	870	2881
232	874	2877
233	877	2871
234	880	2865
235	883	2861
236	887	2856
237	891	2853
238	894	2847
239	898	2843
240	901	2839
241	905	2835
242	908	2829
243	911	2825
244	915	2820
245	918	2815
246	921	2810
247	925	2804
248	928	2801
249	931	2795
250	934	2789
251	938	2784
252	941	2778
253	945	2777
254	948	2772
255	951	2765
256	954	2759
257	957	2752
258	961	2752
259	964	2746
260	968	2743
261	971	2737
262	976	2737
263	981	2734
264	984	2729
265	986	2722
266	990	2718
267	992	2712
268	995	2706
269	998	2700
270	1001	2694
271	1004	2689
272	1008	2685
273	1011	2679
274	1014	2673
275	1016	2667
276	1019	2661
277	1023	2657
278	1025	2650
279	1028	2644
280	1031	2638
281	1034	2632
282	1036	2626
283	1039	2621
284	1042	2615
285	1045	2609
286	1048	2604
287	1051	2598
288	1054	2593
289	1056	2587
290	1059	2581
291	1062	2575
292	1065	2569
293	1067	2563
294	1071	2559
295	1073	2554
296	1076	2548
297	1079	2542
298	1081	2536
299	1084	2531
300	1087	2525
301	1090	2519
302	1092	2513
303	1095	2508
304	1098	2502
305	1101	2497
306	1104	2492
307	1106	2487
308	1109	2481
309	1112	2476
310	1115	2471
311	1118	2467
312	1121	2462
313	1125	2458
314	1128	2453
315	1132	2451
316	1135	2446
317	1139	2443
318	1142	2438
319	1145	2433
320	1149	2432
321	1153	2427
322	1156	2423
323	1159	2418
324	1162	2413
325	1166	2411
326	1169	2407
327	1172	2402
328	1175	2397
329	1179	2394
330	1183	2391
331	1186	2387
332	1189	2382
333	1192	2378
334	1196	2375
335	1199	2370
336	1202	2366
337	1205	2361
338	1208	2356
339	1211	2352
340	1214	2347
341	1217	2342
342	1220	2337
343	1223	2332
344	1226	2328
345	1229	2323
346	1231	2318
347	1234	2313
348	1237	2307
349	1240	2302
350	1243	2299
351	1246	2294
352	1249	2289
353	1251	2284
354	1254	2280
355	1258	2275
356	1261	2271
357	1264	2266
358	1266	2262
359	1269	2257
360	1272	2253
361	1275	2248
362	1278	2244
363	1282	2240
364	1285	2235
365	1288	2231
366	1291	2227
367	1294	2223
368	1297	2218
369	1300	2214
370	1303	2210
371	1307	2206
372	1310	2202
373	1313	2198
374	1317	2195
375	1321	2192
376	1324	2188
377	1327	2184
378	1330	2180
379	1333	2175
380	1337	2172
381	1340	2168
382	1343	2163
383	1345	2159
384	1348	2154
385	1351	2150
386	1354	2145
387	1357	2141
388	1360	2136
389	1363	2132
390	1366	2127
391	1369	2123
392	1372	2119
393	1375	2115
394	1377	2110
395	1380	2105
396	1383	2101
397	1386	2097
398	1389	2093
399	1392	2088
400	1395	2084
401	1397	2079
402	1401	2076
403	1404	2072
404	1407	2068
405	1411	2064
